CASE_NUM,CRIME_DESC,CHARGE_CODE,CHARGE_DESC,CRIME_PART,ADDRESS,CITY,DATE,CATEGORY,POINT_X,POINT_Y
201000165,IDENTITY THEFT FRAUD,2609,IDENTITY THEFT,A,600 BLOCK WAYMARKET DR,ANN ARBOR,2020-04-27 12:00:00,FRAUD,-83.75684420099998,42.24327960000005
200014191,SHOPLIFTING,3074,RETAIL FRAUD THEFT 2ND DEGREE,A,300 BLOCK S STATE ST,ANN ARBOR,2020-04-28 10:03:00,LARCENY - RETAIL FRAUD,-83.74043689999996,42.27879860100006
200014179,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,3200 BLOCK HOMESTEAD COMMONS DR,ANN ARBOR,2020-04-28 04:50:00,ASSAULT - SIMPLE,-83.71501089999998,42.241535500000055
200014182,AGGRAVATED ASSAULT,1304,AGG/FEL ASSAULT - NON-FAMILY - GUN,A,200 BLOCK S ASHLEY ST,ANN ARBOR,2020-04-28 07:03:00,ASSAULT - AGGRAVATED,-83.75015550099994,42.28013119900004
201000166,ALL OTHER LARCENY,2399,LARCENY (OTHER),A,900 BLOCK CHURCH ST,ANN ARBOR,2020-04-28 00:00:00,LARCENY - ALL OTHER,-83.73414989899999,42.27064920000004
200014310,ALL OTHER,4877,FLEEING OR ELUDING POLICE (PENAL CODE),B,E LIBERTY ST & S FIFTH AVE,ANN ARBOR,2020-04-29 19:33:00,OBSTRUCTING POLICE,-83.74614299899997,42.279498500000045
200014317,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2902,DAMAGE TO PROPERTY - PRIVATE PROPERTY - MDOP,A,100 BLOCK E DAVIS AVE,ANN ARBOR,2020-04-29 22:07:00,DAMAGE TO PROPERTY,-83.74935799899998,42.27046270100004
200014324,RUNAWAY,7070,RUNAWAY,B,2400 BLOCK ARROWWOOD TRL,ANN ARBOR,2020-04-29 19:45:00,MISSING PERSON / RUNAWAY,-83.73218009999994,42.30883890000007
200014353,SHOPLIFTING,3078,"RETAIL FRAUD, THEFT 3RD DEGREE",A,400 BLOCK S MAPLE RD,ANN ARBOR,2020-04-30 15:00:00,LARCENY - RETAIL FRAUD,-83.78214749999995,42.277596800000026
200014346,AGGRAVATED ASSAULT,1305,AGG/FEL ASSAULT - NON-FAMILY - OTHER WEAPON,A,2300 BLOCK SANDALWOOD CIR,ANN ARBOR,2020-04-30 13:13:00,ASSAULT - AGGRAVATED,-83.71033749899999,42.30734339900005
200014370,SHOPLIFTING,3074,RETAIL FRAUD THEFT 2ND DEGREE,A,400 BLOCK MILLER AVE,ANN ARBOR,2020-04-30 20:03:30,LARCENY - RETAIL FRAUD,-83.75241329899995,42.283600499000045
200014436,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2901,DAMAGE TO PROPERTY - BUSINESS PROPERTY - MDOP,A,300 BLOCK BRIARWOOD CIR,ANN ARBOR,2020-05-01 16:30:00,DAMAGE TO PROPERTY,-83.74402620099994,42.24325390100006
200014415,IDENTITY THEFT FRAUD,2609,IDENTITY THEFT,A,500 BLOCK FELCH ST,ANN ARBOR,2020-04-27 12:00:00,FRAUD,-83.75296749999995,42.28642400000007
200014420,TRESPASS OF REAL PROPERTY,5707,TRESPASS (OTHER),B,300 BLOCK S FIFTH AVE,ANN ARBOR,2020-05-01 14:28:00,TRESPASSING / INVASION OF PRIVACY,-83.74640339999996,42.27834700000005
200014422,AGGRAVATED ASSAULT,1305,AGG/FEL ASSAULT - NON-FAMILY - OTHER WEAPON,A,100 BLOCK E WILLIAM ST,ANN ARBOR,2020-05-01 14:48:00,ASSAULT - AGGRAVATED,-83.74784359999995,42.277687600000036
200014465,MOTOR VEHICLE THEFT,2404,VEHICLE THEFT UDAA (REPORTED BY YOUR JURISDICTION),A,700 BLOCK S MAIN ST,ANN ARBOR,2020-05-01 21:59:00,MOTOR VEHICLE THEFT / FRAUD,-83.74983509999998,42.272502701000064
200014472,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,3200 BLOCK E EISENHOWER PKWY,ANN ARBOR,2020-05-01 23:16:00,ASSAULT - SIMPLE,-83.71492199999994,42.24386890000005
200014495,SHOPLIFTING,3078,"RETAIL FRAUD, THEFT 3RD DEGREE",A,3100 BLOCK WASHTENAW AVE,ANN ARBOR,2020-05-02 08:48:30,LARCENY - RETAIL FRAUD,-83.69815849899999,42.25797269900005
200014513,SHOPLIFTING,3078,"RETAIL FRAUD, THEFT 3RD DEGREE",A,3200 BLOCK S STATE ST,ANN ARBOR,2020-05-02 12:57:00,LARCENY - RETAIL FRAUD,-83.73852800099996,42.24024780000008
200014564,AGGRAVATED ASSAULT,1303,AGG/FEL ASSAULT - FAMILY - STRONG ARM-DOMESTIC,A,2600 BLOCK ARROWWOOD TRL,ANN ARBOR,2020-05-02 23:05:00,ASSAULT - AGGRAVATED,-83.73482110099997,42.307609401000036
200014581,SHOPLIFTING,3078,"RETAIL FRAUD, THEFT 3RD DEGREE",A,2600 BLOCK JACKSON AVE,ANN ARBOR,2020-05-03 08:26:30,LARCENY - RETAIL FRAUD,-83.78276949999997,42.28043070000007
201000172,ALL OTHER LARCENY,2399,LARCENY (OTHER),A,"700 BLOCK S FOREST AVE, APT 201",ANN ARBOR,2020-04-30 05:15:00,LARCENY - ALL OTHER,-83.73195029899995,42.27325250000007
200014574,THEFT FROM BUILDING,2308,"LARCENY - FROM BUILDING (INCLUDES LIBRARY, OFFICE USED BY PUBLIC, ETC)",A,1500 BLOCK PAULINE BLVD,ANN ARBOR,2020-05-02 21:07:30,LARCENY - ALL OTHER,-83.76585019999999,42.26840160000006
200014545,THEFT FROM BUILDING,2308,"LARCENY - FROM BUILDING (INCLUDES LIBRARY, OFFICE USED BY PUBLIC, ETC)",A,2700 BLOCK PACKARD RD,ANN ARBOR,2020-05-02 19:03:00,LARCENY - ALL OTHER,-83.71365699999996,42.242909000000054
200014545,ALL OTHER,5013,CONDITIONAL RELEASE VIOLATION,B,2700 BLOCK PACKARD RD,ANN ARBOR,2020-05-02 19:03:00,OBSTRUCTING JUSTICE,-83.71365699999996,42.242909000000054
200014569,ALL OTHER LARCENY,2310,LARCENY - FROM MAILS,A,1100 BLOCK LINCOLN AVE,ANN ARBOR,2020-05-03 01:03:30,LARCENY - ALL OTHER,-83.72955359899998,42.268471100000056
200014604,AGGRAVATED ASSAULT,1305,AGG/FEL ASSAULT - NON-FAMILY - OTHER WEAPON,A,400 BLOCK S MAPLE RD,ANN ARBOR,2020-05-03 13:21:00,ASSAULT - AGGRAVATED,-83.78214749999995,42.277596800000026
200014651,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,800 BLOCK MCKINLEY AVE,ANN ARBOR,2020-05-04 00:45:00,ASSAULT - SIMPLE,-83.73815559999997,42.26743490000007
200014639,ALL OTHER LARCENY,2309,LARCENY - FROM YARDS (GROUNDS SURROUNDING A BUILDING),A,500 BLOCK HILL ST,ANN ARBOR TWP,2020-05-02 19:00:00,LARCENY - ALL OTHER,-83.74303040099994,42.272054800000035
