Reading Date,Rainfall (in.),
04/15/2020,0.01,
04/16/2020,0.00,
04/17/2020,0.19,
04/18/2020,0.00,
04/19/2020,0.00,
04/20/2020,0.04,
04/21/2020,0.03,
04/22/2020,0.07,
04/23/2020,0.05,
04/24/2020,0.00,
04/25/2020,0.00,
04/26/2020,0.00,
04/27/2020,0.00,
04/28/2020,0.01,
04/29/2020,0.17,
04/30/2020,0.25,
05/01/2020,0.00,
05/02/2020,0.00,
05/03/2020,0.00,
05/04/2020,0.00,
05/05/2020,0.00,
05/06/2020,0.00,
05/07/2020,0.00,
05/08/2020,0.00,
05/09/2020,0.00,
05/10/2020,0.47,
05/11/2020,0.01,
05/12/2020,0.00,
05/13/2020,0.00,
05/14/2020,0.45,
05/15/2020,0.66,
05/16/2020,0.00,
05/17/2020,0.33,
05/18/2020,2.05,
05/19/2020,0.01,
05/20/2020,0.00,
05/21/2020,0.00,
05/22/2020,0.01,
05/23/2020,0.00,
05/24/2020,0.00,
05/25/2020,0.00,
05/26/2020,0.00,
05/27/2020,0.04,
05/28/2020,0.18,
05/29/2020,0.03,
05/30/2020,0.00,
05/31/2020,0.00,
06/01/2020,0.07,
06/02/2020,0.00,
06/03/2020,0.00,
06/04/2020,0.00,
06/05/2020,0.00,
06/06/2020,0.00,
06/07/2020,0.00,
06/08/2020,0.00,
06/09/2020,0.00,
06/10/2020,0.77,
06/11/2020,0.02,
06/12/2020,0.00,
06/13/2020,0.00,
06/14/2020,0.00,
06/15/2020,0.00,
06/16/2020,0.00,
06/17/2020,0.00,
06/18/2020,0.00,
06/19/2020,0.00,
06/20/2020,0.00,
06/21/2020,0.00,
06/22/2020,0.01,
06/23/2020,0.18,
06/24/2020,0.13,
06/25/2020,0.00,
06/26/2020,1.11,
06/27/2020,0.60,
06/28/2020,0.00,
06/29/2020,0.00,
06/30/2020,0.00,
07/01/2020,0.00,
07/02/2020,0.00,
07/03/2020,0.00,
07/04/2020,0.00,
07/05/2020,0.00,
07/06/2020,0.00,
07/07/2020,0.00,
07/08/2020,0.65,
07/09/2020,0.00,
07/10/2020,1.68,
07/11/2020,0.00,
07/12/2020,0.00,
07/13/2020,0.00,
07/14/2020,0.00,
07/15/2020,0.02,
07/16/2020,0.64,
07/17/2020,0.00,
07/18/2020,0.00,
07/19/2020,1.05,
07/20/2020,0.00,
07/21/2020,0.00,
07/22/2020,0.00,
07/23/2020,0.00,
07/24/2020,0.00,
07/25/2020,0.00,
07/26/2020,0.00,
